"ID.EVENTO","TITULO","PRECIO","GRATUITO","LARGA.DURACION","DIAS.SEMANA","DIAS.EXCLUIDOS","FECHA","FECHA.FIN","HORA","DESCRIPCION","CONTENT.URL","TITULO.ACTIVIDAD","URL.ACTIVIDAD","URL.INSTALACION","NOMBRE.INSTALACION","ACCESIBILIDAD.INSTALACION","CLASE.VIAL.INSTALACION","NOMBRE.VIA.INSTALACION","NUM.INSTALACION","DISTRITO.INSTALACION","BARRIO.INSTALACION","CODIGO.POSTAL.INSTALACION","COORDENADA.X","COORDENADA.Y","LATITUD","LONGITUD","TIPO","AUDIENCIA","X"
12041951,"Carmen, nada de nadie","",0,1,"M,X,J,V,S,D","","2024-01-17 00:00:00.0","2024-02-18 23:59:00.0","19:30","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=557032617b2e8810VgnVCM1000001d4a900aRCRD","","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6d3ce3914381c010VgnVCM1000000b205a0aRCRD","Teatro Español","1,6","CALLE","PRINCIPE",25,"CENTRO","CORTES",28012,440597,4474036,40.4148285322409,-3.70016494954369,"/contenido/actividades/TeatroPerformance","",NA
12135805,"Cena para dos","",1,0,"","","2023-12-09 00:00:00.0","2023-12-09 23:59:00.0","19:00","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=33d524102b74b810VgnVCM2000001f4a900aRCRD","Cena para dos","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=1f6424102b74b810VgnVCM2000001f4a900aRCRD","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2193cb665c6e8610VgnVCM1000001d4a900aRCRD","Teatro Municipal de Vallecas","1","CALLE","PASO DE VILLAMANRIQUE",3,"VILLA DE VALLECAS","CASCO H.VALLECAS",28031,447122,4469857,40.3776236209305,-3.62290957747848,"/contenido/actividades/TeatroPerformance","",NA
12135833,"Coro The Barbees cantando Navidad","",1,0,"","","2023-12-16 00:00:00.0","2023-12-16 23:59:00.0","19:00","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=dd28479a8d74b810VgnVCM2000001f4a900aRCRD","Coro The Barbees cantando Navidad","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=e94624102b74b810VgnVCM2000001f4a900aRCRD","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2193cb665c6e8610VgnVCM1000001d4a900aRCRD","Teatro Municipal de Vallecas","1","CALLE","PASO DE VILLAMANRIQUE",3,"VILLA DE VALLECAS","CASCO H.VALLECAS",28031,447122,4469857,40.3776236209305,-3.62290957747848,"/contenido/actividades/Musica","",NA
12152327,"CREA. Muestra final","",1,1,"L,M,X,J,V,S,D","","2023-12-02 00:00:00.0","2023-12-03 23:59:00.0","","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=788e669bef3ab810VgnVCM1000001d4a900aRCRD","","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=784d8c7c0f91f010VgnVCM1000000b205a0aRCRD","Teatro Municipal de Títeres. Parque de El Retiro","1","AVENIDA","MÉXICO",4,"RETIRO","LOS JERÓNIMOS",28009,441748,4474466,40.418783625616,-3.68665194710036,"/contenido/actividades/CuentacuentosTiteresMarionetas","/usuario/Niños",NA
12135680,"Cuento de navidad","",1,0,"","","2023-12-02 00:00:00.0","2023-12-02 23:59:00.0","18:00","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=9f8faf8fa974b810VgnVCM2000001f4a900aRCRD","","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2193cb665c6e8610VgnVCM1000001d4a900aRCRD","Teatro Municipal de Vallecas","1","CALLE","PASO DE VILLAMANRIQUE",3,"VILLA DE VALLECAS","CASCO H.VALLECAS",28031,447122,4469857,40.3776236209305,-3.62290957747848,"/contenido/actividades/TeatroPerformance","/usuario/Niños",NA
12130573,"Cuerpos narrativos","",1,0,"","","2023-11-24 00:00:00.0","2023-11-24 23:59:00.0","17:30","Jornada final donde compartiremos las técnicas y estrategias trabajadas durante las sesiones. Entregar a otros nuestro trabajo y creatividad. Creación de secuencias de movimiento.","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=6daacf60c5e1b810VgnVCM1000001d4a900aRCRD","Monográfico II - expresión corporal","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=cbbab2e71930b810VgnVCM1000001d4a900aRCRD","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2193cb665c6e8610VgnVCM1000001d4a900aRCRD","Teatro Municipal de Vallecas","1","CALLE","PASO DE VILLAMANRIQUE",3,"VILLA DE VALLECAS","CASCO H.VALLECAS",28031,447122,4469857,40.3776236209305,-3.62290957747848,"/contenido/actividades/TeatroPerformance","",NA
12130571,"El cuerpo como material expresivo","",1,0,"","","2023-11-17 00:00:00.0","2023-11-17 23:59:00.0","17:30","Activación corporal. Creación de pequeñas secuencias de movimiento a través de la interacción entre los cuerpos y el espacio.","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=806acf60c5e1b810VgnVCM1000001d4a900aRCRD","Monográfico II - expresión corporal","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=cbbab2e71930b810VgnVCM1000001d4a900aRCRD","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2193cb665c6e8610VgnVCM1000001d4a900aRCRD","Teatro Municipal de Vallecas","1","CALLE","PASO DE VILLAMANRIQUE",3,"VILLA DE VALLECAS","CASCO H.VALLECAS",28031,447122,4469857,40.3776236209305,-3.62290957747848,"/contenido/actividades/TeatroPerformance","",NA
12042019,"El perro del teniente","20 euros",0,1,"M,X,J,V,S,D","","2024-02-08 00:00:00.0","2024-03-10 23:59:00.0","","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=a05332617b2e8810VgnVCM1000001d4a900aRCRD","","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6d3ce3914381c010VgnVCM1000000b205a0aRCRD","Teatro Español","1,6","CALLE","PRINCIPE",25,"CENTRO","CORTES",28012,440597,4474036,40.4148285322409,-3.70016494954369,"/contenido/actividades/TeatroPerformance","",NA
12041946,"El silencio en Bodas de sangre","18 euros",0,1,"M,X,J,V,S,D","","2023-12-21 00:00:00.0","2024-01-07 23:59:00.0","19:30","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=8a4032617b2e8810VgnVCM1000001d4a900aRCRD","","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6d3ce3914381c010VgnVCM1000000b205a0aRCRD","Teatro Español","1,6","CALLE","PRINCIPE",25,"CENTRO","CORTES",28012,440597,4474036,40.4148285322409,-3.70016494954369,"/contenido/actividades/TeatroPerformance","",NA
12041940,"El Teatro Español de Madrid, el teatro más antiguo de Europa (1583-2023)","Entrada libre",1,1,"M,X,J,V,S,D","","2023-11-08 00:00:00.0","2024-07-14 23:59:00.0","","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=521032617b2e8810VgnVCM1000001d4a900aRCRD","El Teatro Español de Madrid, el teatro más antiguo de Europa (1583-2023)","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=761032617b2e8810VgnVCM1000001d4a900aRCRD","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6d3ce3914381c010VgnVCM1000000b205a0aRCRD","Teatro Español","1,6","CALLE","PRINCIPE",25,"CENTRO","CORTES",28012,440597,4474036,40.4148285322409,-3.70016494954369,"/contenido/actividades/ProgramacionDestacadaAgendaCultura","",NA
