PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;COD-BARRIO;BARRIO;COD-DISTRITO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
2392;"Auditorio al aire libre Berlín";"Su mantenimiento es competencia de la Junta de Distrito de Chamartín.  Actividades: espectáculos variados durante los meses de verano.";"";"";"Metro: Concha Espina (línea 9).  Bus: 16, 29, 52.  Bicimad: Estación 197 (avenida de Concha Espina, 34).  Aparcamiento: Museo de la Ciudad (51) calle Príncipe de Vergara 152 y calle Pechuán.";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=34137b503a71c010VgnVCM1000000b205a0aRCRD";"SAN ERNESTO";"CALLE";"V";"10";"";"";"";"";"MADRID";"MADRID";"28002";"3";"CIUDAD JARDIN";"5";"CHAMARTIN";"442714";"4477836";"40.449208447370104";"-3.6755539136331894";"";"";"";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"; 
10290803;"Auditorio al Aire Libre Recinto Ferial Vicálvaro";"";"";"";"Metro: Puerta de Arganda (Línea 9).  Bus: 100, 106, 159.  Cercanías RENFE: Vicálvaro (Líneas C2, C7, C8 y Regional).";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=883ba0701d0da510VgnVCM1000001d4a900aRCRD";"POLIDEPORTIVO";"PASEO";"V";"142";"";"";"";"";"MADRID";"MADRID";"28032";"1";"CASCO H.VICALVARO";"19";"VICALVARO";"449366";"4473005";"40.40612285515847";"-3.5967208460494637";"";"";"";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"; 
122296;"Auditorio al aire libre. Carlos Jiménez de Parga";"Su mantenimiento es competencia de la Junta de Distrito de Puente de Vallecas.   Actividades : espectáculos variados durante los meses de verano.  Espacio abierto, acceso directo sin vallado.";"";"";"Metro: Miguel Hernández (línea 1).  Bus: 144, 54.";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7d03cbf06c81c010VgnVCM1000000b205a0aRCRD";"RAFAEL ALBERTI";"AVENIDA";"V";"13";"";"";"";"esquina calle Andaluces";"MADRID";"MADRID";"28038";"4";"PALOMERAS SURESTE";"13";"PUENTE DE VALLECAS";"445830";"4471232";"40.389928882222264";"-3.6382448554479936";"915 887 307";"";"cultupvallecas@madrid.es";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"; 
2395;"Auditorio al aire libre. Centro Cultural el Pozo";"Su mantenimiento es competencia de la Junta de Puente de Vallecas.";"";"Actividades: espectáculos variados durante los meses de verano. Espacio con vallado perimetral y puerta de acceso.";"Bus: 102, 24.  Cercanías Renfe: El Pozo (líneas C2, C7 y Regional).";"";"2";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8cd27b503a71c010VgnVCM1000000b205a0aRCRD";"ANDALUCES DEL POZO";"CALLE";"V";"1";"";"";"";"con calle Cabo Machichaco";"MADRID";"MADRID";"28053";"1";"ENTREVIAS";"13";"PUENTE DE VALLECAS";"443905";"4469263";"40.372062320145766";"-3.66075779238216";"915 887 307";"";"cultupvallecas@madrid.es";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"; 
2396;"Auditorio al aire libre. Entrevías";"Su mantenimiento es competencia de la Junta de Puente de Vallecas.   Actividades: espectáculos variados durante los meses de verano. Espacio con vallado perimetral y puerta de acceso.";"";"";"Bus: 111, 102.";"";"2";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=1fe27b503a71c010VgnVCM1000000b205a0aRCRD";"SUR";"RONDA";"V";"";"";"";"";"Altura calle Montánchez";"MADRID";"MADRID";"28053";"1";"ENTREVIAS";"13";"PUENTE DE VALLECAS";"443009";"4469412";"40.37302468875877";"-3.671950235640722";"915 887 307";"";"cultupvallecas@madrid.es";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"; 
122325;"Auditorio al aire libre. Parque Aluche";"Su mantenimiento es competencia de la Junta de Distrito Latina.  Actividades : espectáculos variados durante los meses de verano.";"";"";"Metro de Madrid. Línea 5. Estación: Aluche.   Autobuses de la  EMT: líneas 25, 121 y 138.   Cercanías RENFE:. Línea C 5. Estación: Aluche.";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0023cbf06c81c010VgnVCM1000000b205a0aRCRD";"ILLESCAS";"CALLE";"V";"149";"";"";"";"";"MADRID";"MADRID";"28047";"4";"ALUCHE";"10";"LATINA";"435554";"4471619";"40.392680212409495";"-3.7593572957930554";"";"";"";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"; 
10290753;"Auditorio al aire libre. Parque Amós Acero";"Su mantenimiento es competencia de la Junta de Distrito de Puente de Vallecas.   Actividades: Espectáculos variados durante los meses de verano. Espacio abierto, acceso directo sin vallado.";"";"";"Bus: 24, 103, 111, 57, 144.";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0688a0701d0da510VgnVCM1000001d4a900aRCRD";"SIERRA DE ALQUIFE";"CALLE";"V";"20";"";"";"";"";"MADRID";"MADRID";"28053";"2";"SAN DIEGO";"13";"PUENTE DE VALLECAS";"443462";"4471081";"40.38840925271774";"-3.666129894495819";"915 887 307";"";"cultupvallecas@madrid.es";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"; 
2393;"Auditorio al aire libre. Parque Cerro Almodóvar";"Su mantenimiento es competencia de la Junta de Distrito de Latina.  Actividades : espectáculos variados durante los meses de verano. Aforo máximo: 1200 espectadores.";"";"";"Metro de Madrid. Línea 6. Estación: Carpetana.  Autobuses de la EMT: Líneas: 17, 25 y 500.";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=eb437b503a71c010VgnVCM1000000b205a0aRCRD";"MARCELINO CASTILLO";"CALLE";"V";"29";"";"";"";"";"MADRID";"MADRID";"28047";"4";"ALUCHE";"10";"LATINA";"436800";"4471778";"40.39420802732146";"-3.744692836307442";"";"";"";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"; 
2399;"Auditorio al aire libre. Parque de Canillejas";"Su mantenimiento es competencia de la Junta de Distrito de San Blas - Canillejas.   Actividades: espectáculos variados durante los meses de verano.";"";"";"Metro: Torre Arias (línea 5).  Bus: 28, 48.";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=59337b503a71c010VgnVCM1000000b205a0aRCRD";"NECTAR";"CALLE";"V";"32";"";"";"";"";"MADRID";"MADRID";"28022";"7";"CANILLEJAS";"20";"SAN BLAS-CANILLEJAS";"448169";"4477063";"40.442611374955234";"-3.611167964373918";"";"";"";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"; 
10724346;"Auditorio al aire libre. Parque de la Cuña Verde";"Actividades: cine de verano y espectáculos musicales.";"";"";"Bus: 140, E4";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=35f0833f1eec3610VgnVCM1000001d4a900aRCRD";"JOSE BERGAMIN";"CALLE";"V";"1";"";"";"";"";"MADRID";"MADRID";"28030";"3";"MARROQUINA";"14";"MORATALAZ";"445807";"4473480";"40.410178738865554";"-3.6387107324296006";"";"";"";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"; 
