PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;COD-BARRIO;BARRIO;COD-DISTRITO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
10276080;"Autocine Madrid";"";"";"";"Bus: 66, 124, 137, SE704, N24.";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fea63d5e3af7a510VgnVCM1000001d4a900aRCRD";"ISLA DE JAVA";"CALLE";"V";"2";"";"";"";"";"MADRID";"MADRID";"28034";"6";"VALVERDE";"8";"FUENCARRAL-EL PARDO";"442496";"4481897";"40.485784039607616";"-3.6784958755227875";"917 294 966";"";"infomadrid@autocines.com";"/contenido/entidadesYorganismos/CinesFilmotecas"; 
7381184;"Centro Comercial Dreams - Palacio Municipal de Hielo";"";"";"";"Metro: Canillas (línea 4).  Bus: 120, 112, 122, 153.";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c599006aee194410VgnVCM1000000b205a0aRCRD";"SILVANO";"CALLE";"V";"77";"";"";"";"";"MADRID";"MADRID";"28043";"3";"CANILLAS";"16";"HORTALEZA";"446098";"4479327";"40.46287225446314";"-3.635776268846016";"917 251 494";"";"gerencia@palaciodehielo.com";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/PistasPatinaje"; 
6647175;"Cine Artistic Metropol";"";"";"";"Metro: Acacias (línea 5), Embajadores (líneas 3 y 5), Puerta de Toledo (línea 5).   Bus: 34, 36, 41, 60, 62, 78, 116, 118, 119, 148, C1, C2, C03, N12, N15, N17.  Cercanías Renfe: Embajadores (línea C5), Pirámides (líneas C1 y C10).   Bicimad: Estaciones 46 (Ribera de Curtidores, 28), 163 (Paseo de la Esperanza, 2).";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b69b2f335181b310VgnVCM1000000b205a0aRCRD";"CIGARRERAS";"CALLE";"V";"6";"";"";"";"";"MADRID";"MADRID";"28005";"2";"ACACIAS";"2";"ARGANZUELA";"439971";"4472937";"40.40488744133082";"-3.7074402109488225";"915 272 792";"";"cinema@artisticfilms.es";"/contenido/entidadesYorganismos/CinesFilmotecas"; 
17321;"Cine Capitol Gran Vía";"";"";"";"Metro: Callao (líneas 3, 5), Santo Domingo (línea 2).  Bus: 001, 1, 2, 3, 44, 46, 74, 75, 133, 147, 148, N16, N18, N19, N20, N21.  Bicimad: Estaciones 2 (calle Miguel Moya, 1), 22 (Jacometrezo, 3), 23 (plaza de Santo Domingo, 1).  Aparcamiento: Plaza del Rey (54), Plaza del Rey.";"Descripción monumental: Arquitectos: Luis Martínez - Feduchi y Vicente Eced (1931 - 1933). Esta joya arquitectónica vanguardista e innovadora se construyó con la ambición de convertirse en un hito urbano. Desde su origen se pensó en él como soporte de anuncios luminosos.";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6dac3d232e91f010VgnVCM1000000b205a0aRCRD";"GRAN VIA";"CALLE";"V";"41";"";"";"";"";"MADRID";"MADRID";"28013";"1";"PALACIO";"1";"CENTRO";"440057";"4474664";"40.42044662928379";"-3.706582132732834";"915 222 229";"";"info@capitolgranvia.com";"/contenido/entidadesYorganismos/CinesFilmotecas"; 
17304;"Cine Cinesa La Gavia 3D";"";"";"";"Bus: 145";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=390c3d232e91f010VgnVCM1000000b205a0aRCRD";"ADOLFO BIOY CASARES";"CALLE";"V";"2";"";"";"";"";"MADRID";"MADRID";"28051";"1";"CASCO H.VALLECAS";"18";"VILLA DE VALLECAS";"449271";"4468741";"40.367701522967664";"-3.597512351069017";"902 333 231";"";"";"/contenido/entidadesYorganismos/CinesFilmotecas"; 
68001;"Cine Cinesa Las Rosas";"";"";"";"Metro: Alsacia (línea 2).  Bus: 106, 140, 70, 165, 159, 167, E2, N7.";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=3c9255004e91f010VgnVCM2000000c205a0aRCRD";"GUADALAJARA";"AVENIDA";"V";"2";"";"";"";"";"MADRID";"MADRID";"28032";"4";"ARCOS";"20";"SAN BLAS-CANILLEJAS";"447189";"4474396";"40.41851857456756";"-3.6224973167642536";"932 289 600";"";"";"/contenido/entidadesYorganismos/CinesFilmotecas"; 
4549928;"Cine Cinesa Manoteras";"";"";"";"Cercanías Renfe: Fuente de la Mora (C1, C2, C7 y C10).  Autobús: 150.  Bicimad: Estación 540 (calle de Dulce Chacón, s/n).";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=1eb86f91462a1110VgnVCM1000000b205a0aRCRD";"MANOTERAS";"AVENIDA";"V";"40";"";"";"";"";"MADRID";"MADRID";"28050";"6";"VALDEFUENTES";"16";"HORTALEZA";"443605";"4481918";"40.48605015845937";"-3.665403458638993";"932 289 600";"";"";"/contenido/entidadesYorganismos/CinesFilmotecas"; 
33938;"Cine Cinesa Méndez Álvaro";"";"";"";"Metro: Méndez Álvaro (línea 6).  Bus: 113.  Cercanías Renfe: Méndez Álvaro (líneas C1, C5 y C10).  Bicimad: Estación 180 (calle Retama, 5).";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b32e3d232e91f010VgnVCM1000000b205a0aRCRD";"ACANTO";"CALLE";"V";"2";"";"";"";"";"MADRID";"MADRID";"28045";"7";"ATOCHA";"2";"ARGANZUELA";"442669";"4471990";"40.396541482879385";"-3.6755567794919757";"932 289 600";"";"";"/contenido/entidadesYorganismos/CinesFilmotecas"; 
160926;"Cine Cinesa Príncipe Pío 3D";"";"";"";"Metro: Príncipe Pío (líneas 6, 10)  Bus: 41, 46, 75  Cercanías Renfe: Príncipe Pío (líneas C1, C7 y C10)  Bicimad: Estación 161 (Paseo de la Florida, 8)";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=de97051c8d91f010VgnVCM1000000b205a0aRCRD";"FLORIDA";"PASEO";"V";"0";"";"";"";"Centro de Ocio, Cultura y Comercio Príncipe Pío";"MADRID";"MADRID";"28008";"1";"CASA DE CAMPO";"9";"MONCLOA-ARAVACA";"438838";"4474711";"40.42078197104075";"-3.7209625681527148";"902 333 231";"";"";"/contenido/entidadesYorganismos/CinesFilmotecas"; 
137916;"Cine Cinesa Proyecciones";"";"";"";"Metro: Quevedo (línea 2), Bilbao (líneas 1 y 4).   Bus: 3, 16, 21, 37, 40, 61, 147, 149, C03.  Bicimad: Estaciones 200 (glorieta Quevedo, 5), 4 (calle Manuela Malasaña, 5), 5 (calle Fuencarral, 108).  Aparcamiento: Olavide (52), Plaza de Olavide.";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2f67051c8d91f010VgnVCM1000000b205a0aRCRD";"FUENCARRAL";"CALLE";"V";"136";"";"";"";"";"MADRID";"MADRID";"28010";"3";"TRAFALGAR";"7";"CHAMBERI";"440350";"4475887";"40.431491248346006";"-3.703242682577312";"932 289 600";"";"";"/contenido/entidadesYorganismos/CinesFilmotecas"; 
